NA-167,Bahawalnagar,Punjab,Mian Mumtaz Ahmed Mutayana,PTI,143
NA-167,Bahawalnagar,Punjab,Alam Dad Lalaika,PML-N,84
NA-170,Bahawalpur,Punjab,Muhammad Farooq Azam Malik,PTI,4160
NA-170,Bahawalpur,Punjab,Muhammad Baligh Ur Rehman,PML-N,3150
NA-171,Bahawalpur,Punjab,Mian Riaz Hussain Pirzada,PML-N,8115
NA-171,Bahawalpur,Punjab,Chaudhry Naeem Ud Din Warraich,PTI,5977
NA-172,Bahawalpur,Punjab,Tariq Bashir Cheema,PML-Q,8870
NA-172,Bahawalpur,Punjab,Saud Majeed,PML-N,6270
NA-173,Bahawalpur,Punjab,Mian Najeeb Ud Din Awaisi,PML-N,6171
NA-173,Bahawalpur,Punjab,Makhdoom Syed Ali Hassan Gillani,PPPP,4693
NA-173,Bahawalpur,Punjab,Khadeeja Aamir,PTI,2312
NA-174,Bahawalpur,Punjab,Makhdoom Syed Sami Ul Hassan Gillani,PTI,1886
NA-174,Bahawalpur,Punjab,Prince Bahawal Abbas Abbasi,IND,1700
NA-174,Bahawalpur,Punjab,Makhdoom Syed Ali Hassan Gillani,PPPP,217
NA-175,Rahim Yar Khan,Punjab,khawaja Ghulam Rasool koreja,PPPP,447
NA-175,Rahim Yar Khan,Punjab,Syed Mobeen Ahmed,PTI,427
NA-176,Rahim Yar Khan,Punjab,Sheikh Fayyaz uddin,PML-N,5433
NA-176,Rahim Yar Khan,Punjab,Mian Ghous Muhammad,PTI,2241
NA-176,Rahim Yar Khan,Punjab,Syed Tanveer Hussain,PPPP,186
NA-177,Rahim Yar Khan,Punjab,Makhdoom Khusru Bakhtiyar,PTI,14070
NA-177,Rahim Yar Khan,Punjab,Makhdoom Shahab uddin,PPPP,7901
NA-178,Rahim Yar Khan,Punjab,Syed Mustafa Mehmood,PPPP,1822
NA-178,Rahim Yar Khan,Punjab,Muhammad Tariq Chohan,PML-N,75
NA-179,Rahim Yar Khan,Punjab,Mian Imtiaz Ahmed,PML-N,363
NA-179,Rahim Yar Khan,Punjab,Jawaid Iqbal Waraich,PTI,323
NA-180,Rahim Yar Khan,Punjab,Muhammad Arshad Khan Laghari,PML-N,597
NA-180,Rahim Yar Khan,Punjab,Syed Murtaza Mehmood,PPPP,357
NA-180,Rahim Yar Khan,Punjab,Sardar Rafiq Haider,PTI,72
NA-181,Muzaffargarh,Punjab,Muhammad Shabir Ali,IND,3774
NA-181,Muzaffargarh,Punjab,Sultan Mehmood Hinjra,IND,3093
NA-181,Muzaffargarh,Punjab,Chaudhry Ahsan Ul Haq Ahsan,PPPP,346
NA-182,Muzaffargarh,Punjab,Hammad Nawaz Khan,PML-N,3479
NA-182,Muzaffargarh,Punjab,Mehar Irshad Ahmed,PPPP,3326
NA-182,Muzaffargarh,Punjab,Begum Tehmina Dasti,PTI,366
NA-182,Muzaffargarh,Punjab,Jamshed Ahmed Dasti,ARP,76
NA-183,Muzaffargarh,Punjab,Malik Muhammad Rafiq khar,PTI,543
NA-183,Muzaffargarh,Punjab,Raza Rabbani khar,PPPP,503
NA-183,Muzaffargarh,Punjab,Muhammad Arif Khan baloch,PML-N,143
NA-184,Muzaffargarh,Punjab,Jamshed Ahmed Dasti,ARP,404
NA-184,Muzaffargarh,Punjab,Malik Ahmed karim Qaswar langrial,IND,234
NA-185,Muzaffargarh,Punjab,Muhammad Muazzam Ali Jatoi,PTI,1950
NA-185,Muzaffargarh,Punjab,Syed Basit Ahmed Sultan,IND,1614
NA-186,Muzaffargarh,Punjab,Sardar Khizir Hayat Khan,IND,3915
NA-186,Muzaffargarh,Punjab,Amir Talal Gopang,PTI,3556
NA-187,Layyah,Punjab,Abdul Majeed Khan Niazi,PTI,684
NA-187,Layyah,Punjab,Bahadur Ahmed Khan,IND,132
NA-188,Layyah,Punjab,Niaz Ahmed Jakhar,PTI,15252
NA-188,Layyah,Punjab,Syed Muhammad Saqlain Bukhari,PML-N,10878
